2019-08-09 10:30:19,721 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 113]
2019-08-09 10:30:19,742 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 114]
2019-08-09 10:30:19,766 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 115]
2019-08-09 10:30:19,782 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 116]
2019-08-09 10:30:19,795 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 117]
2019-08-09 10:30:19,815 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 1, ' p ', 0.53527105, ' total_step ', 118]
2019-08-09 10:30:19,832 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 1, ' p ', 0.5164412, ' total_step ', 119]
2019-08-09 10:30:19,848 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 0, ' p ', 0.5164412, ' total_step ', 120]
2019-08-09 10:30:19,863 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 121]
2019-08-09 10:30:19,880 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 122]
2019-08-09 10:30:19,893 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 123]
2019-08-09 10:30:19,950 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 124]
2019-08-09 10:30:19,968 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 125]
2019-08-09 10:30:20,017 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 126]
2019-08-09 10:30:20,031 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 1, ' p ', 0.53527105, ' total_step ', 127]
2019-08-09 10:30:20,053 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 1, ' p ', 0.5164412, ' total_step ', 128]
2019-08-09 10:30:20,101 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 2, ' p ', 0.5164412, ' total_step ', 129]
2019-08-09 10:30:20,121 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 2, ' p ', 0.5164412, ' total_step ', 130]
2019-08-09 10:30:20,137 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 0, ' p ', 0.5164412, ' total_step ', 131]
2019-08-09 10:30:20,161 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 1, ' p ', 0.53527105, ' total_step ', 132]
2019-08-09 10:30:20,183 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 0, ' p ', 0.5164412, ' total_step ', 133]
2019-08-09 10:30:20,199 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 134]
2019-08-09 10:30:20,218 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 135]
2019-08-09 10:30:20,244 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 136]
